"Entry:","Transmembrane","DIBMA 10","DIBMA 12","DIBMA Glycerol","DIBMA Glucosamine","Amphipol 17","Amphipol 18","AASTY 6- 45","AASTY 11- 45","AASTY 6- 50","AASTY 11- 50","AASTY 6- 55","AASTY 11- 55","SMALP 502-E","SMALP 140-I","SMALP 300","SMALP 200","SMALP 140","DDM","DM","LMNG","Fos-12","Digitonin-A","RIPA"
"A6BM72 (MEGF11)","1",,,,,,,,,,,,,,,,,,,,,,,
"A6H8M9 (CDHR4)","1",,,,,,,,,,,,,,,,,,,,,,,
"A6NC97 (FAM172BP)","1",,,,,,,,,,,,,,,,,,,,,,,
"A6NCI5 (LINC00862)","1",,,,,,,,,,,,,,,,,,,,,,,
"A6NCQ9 (RNF222)","1",,,,,,,,,,,,,,,,,,,,,,,
"A6NDA9 (LRIT2)","1",,,,,,,,,,,,,,,,,,,,,,,
"A6NDX4","1",,,,,,,,,,,,,,,,,,,,,,,
"A6NF34 (ANTXRL)","1",,,,,,,,,,,,,,,,,,,,,,,
"A6NFA0 (FAM205C)","1",,,,,,,,,,,,,,,,,,,,,,,
"A6NFA1 (TRABD2B)","1",,,,,,,,,,,,,,,,,,,,,,,
"A6NFE2 (SMCO2)","1",,,,,,,,,,,,,,,,,,,,,,,
"A6NFR6 (C5orf60)","1",,,,,,,,,,,,,,,,,,,,,,,
"A6NFU0 (FAM187A)","1",,,,,,,,,,,,,,,,,,,,,,,
"A6NG13 (MGAT4D)","1",,,,,,,,,,,,,,,,,,,,,,,
"A6NGB0 (TMEM191C)","1",,,,,,,,,,,,,,,,,,,,,,,
"A6NGU5 (GGT3P)","1",,,,,,,,,,,,,,,,,,,,,,,
"A6NGZ8 (SMIM9)","1",,,,,,,,,,,,,,,,,,,,,,,
"A6NHS7 (MANSC4)","1",,,,,,,,,,,,,,,,,,,,,,,
"A6NI73 (LILRA5)","1",,,,,,,,,,,,,,,,,,,,,,,
"A6NIL9 (CRYM-AS1)","1",,,,,,,,,,,,,,,,,,,,,,,
"A6NJU9 (NPIPB13)","1",,,,,,,,,,,,,,,,,,,,,,,
"A6NJW4 (LRRC3C)","1",,,,,,,,,,,,,,,,,,,,,,,
"A6NJW9 (CD8B2)","1",,,,,,,,,,,,,,,,,,,,,,,
"A6NKW6 (SHISAL2B)","1",,,,,,,,,,,,,,,,,,,,,,,
"A6NL05 (FAM74A7)","1",,,,,,,,,,,,,,,,,,,,,,,
"A6NL88 (SHISA7)","1",,,,,,,,,,,,,,,,,,,,,,,
"A6NLE4 (SMIM23)","1",,,,,,,,,,,,,,,,,,,,,,,
"A6NLU5 (VSTM2B)","1",,,,,,,,,,,,,,,,,,,,,,,
"A6NLX4 (TMEM210)","1",,,,,,,,,,,,,,,,,,,,,,,
"A6NM11 (LRRC37A2)","1",,,,,,,,,,,,,,,,,,,,,,,
"A6NM62 (LRRC53)","1",,,,,,,,,,,,,,,,,,,,,,,
"A6NMB1 (SIGLEC16)","1",,,,,,,,,,,,,,,,,,,,,,,
"A6NMS7 (LRRC37A)","1",,,,,,,,,,,,,,,,,,,,,,,
"A6NNC1","1",,,,,,,,,,,,,,,,,,,,,,,
"A6QL63 (BTBD11)","1",,,,,,,,,,,,,,,,,,,,,,,
"A8CG34 (POM121C)","1",NaN,0.322486,NaN,NaN,0.24474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.543926,NaN,NaN,NaN,0.463482,0.512547,0.584326,0.687674,0.418855,0.723487
"A8K4G0 (CD300LB)","1",,,,,,,,,,,,,,,,,,,,,,,
"A8MRT5 (NPIPB5)","1",,,,,,,,,,,,,,,,,,,,,,,
"A8MTT3 (CEBPZOS)","1",NaN,NaN,NaN,NaN,0.673951,0.752119,0.469792,0.686184,0.48484,0.527839,0.327617,NaN,0.497274,NaN,0.684759,0.715213,NaN,0.648881,0.735373,0.588969,0.833391,0.640064,0.82805
"A8MVS5 (HIDE1)","1",,,,,,,,,,,,,,,,,,,,,,,
"A8MVW0 (FAM171A2)","1",NaN,NaN,NaN,NaN,0.189799,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.10835,NaN,0.528073,NaN,NaN,NaN,0.974101,0.118367,NaN,0.233008
"A8MVW5 (HEPACAM2)","1",,,,,,,,,,,,,,,,,,,,,,,
"A8MVZ5 (BTNL10)","1",,,,,,,,,,,,,,,,,,,,,,,
"A8MWV9 (SMIM34)","1",,,,,,,,,,,,,,,,,,,,,,,
"A8MWY0 (ELAPOR2)","1",0.31166,0.317186,NaN,NaN,0.754453,0.797768,0.310425,0.362203,0.253594,0.362306,0.345825,0.121077,NaN,NaN,0.769259,0.590519,NaN,0.956968,0.939642,0.845887,0.841651,0.687644,0.795282
"A8MXE2 (B3GALT9)","1",,,,,,,,,,,,,,,,,,,,,,,
"A8MXK1 (VSTM5)","1",,,,,,,,,,,,,,,,,,,,,,,
"A8MXV6 (CDRT15L2)","1",,,,,,,,,,,,,,,,,,,,,,,
"A8MYB1 (TMCO5B)","1",,,,,,,,,,,,,,,,,,,,,,,
"A8MZ97 (C2orf74)","1",,,,,,,,,,,,,,,,,,,,,,,
"A9Z1Z3 (FER1L4)","1",,,,,,,,,,,,,,,,,,,,,,,
"B0FP48 (UPK3BL1)","1",,,,,,,,,,,,,,,,,,,,,,,
"B0L3A2 (FBXW7-AS1)","1",,,,,,,,,,,,,,,,,,,,,,,
"B2RTY4 (MYO9A)","1",NaN,0.383956,NaN,0.655751,NaN,NaN,NaN,NaN,NaN,0.991945,NaN,0.055898,0.404456,0.388983,0.739242,0.344594,NaN,0.198962,NaN,NaN,0.684763,0.485468,0.626114
"B2RUZ4 (SMIM1)","1",0.408421,0.512031,0.0856219,0.266658,0.577075,0.775289,0.213166,0.111183,0.340265,NaN,NaN,NaN,0.416899,NaN,0.821322,0.524781,NaN,0.735042,0.892589,0.589841,0.745656,0.671185,0.746477
"B4DS77 (SHISA9)","1",,,,,,,,,,,,,,,,,,,,,,,
"B4DYI2 (SPATA31C2)","1",,,,,,,,,,,,,,,,,,,,,,,
"B6A8C7 (TARM1)","1",,,,,,,,,,,,,,,,,,,,,,,
"B6SEH8 (ERVV-1)","1",,,,,,,,,,,,,,,,,,,,,,,
"B7Z8K6 (TRDC)","1",,,,,,,,,,,,,,,,,,,,,,,
"B8ZZ34 (SHISA8)","1",,,,,,,,,,,,,,,,,,,,,,,
"C9JG80 (NPIPB4)","1",,,,,,,,,,,,,,,,,,,,,,,
"C9JVW0 (INAFM1)","1",,,,,,,,,,,,,,,,,,,,,,,
"D3W0D1 (KLRF2)","1",,,,,,,,,,,,,,,,,,,,,,,
"E0CX11 (STMP1)","1",,,,,,,,,,,,,,,,,,,,,,,
"E2RYF6 (MUC22)","1",,,,,,,,,,,,,,,,,,,,,,,
"E5RHQ5 (NPIPB11)","1",,,,,,,,,,,,,,,,,,,,,,,
"E5RIL1 (UPK3BL2)","1",,,,,,,,,,,,,,,,,,,,,,,
"E7ERA6 (RNF223)","1",,,,,,,,,,,,,,,,,,,,,,,
"E9PQ53 (NDUFC2-KCTD14)","1",0.271896,0.4429,0.302212,0.631013,0.865541,0.836795,0.21065,0.537047,0.529127,0.577791,0.544869,0.544194,0.763793,NaN,0.774341,0.83593,NaN,0.796399,0.750262,0.865337,0.970072,0.236685,0.715725
"F2Z333 (FNDC10)","1",,,,,,,,,,,,,,,,,,,,,,,
"F5H4A9 (C3orf80)","1",,,,,,,,,,,,,,,,,,,,,,,
"F7VJQ1 (PRNP)","1",,,,,,,,,,,,,,,,,,,,,,,
"F8W0I5 (NPIPB12)","1",,,,,,,,,,,,,,,,,,,,,,,
"H3BV60 (TGFBR3L)","1",,,,,,,,,,,,,,,,,,,,,,,
"H7C350 (CCDC188)","1",,,,,,,,,,,,,,,,,,,,,,,
"I3L273 (GFY)","1",,,,,,,,,,,,,,,,,,,,,,,
"K7EJ46 (SMIM22)","1",,,,,,,,,,,,,,,,,,,,,,,
"L0R6Q1 (SLC35A4)","1",0.401986,0.328092,0.379952,0.313823,0.755395,0.571731,0.609006,0.541286,0.686652,0.544015,0.565248,0.51731,0.573537,0.576126,0.720821,0.759745,NaN,0.936552,0.933125,0.922118,0.806498,0.78931,0.858256
"M0QZC1 (RNF225)","1",,,,,,,,,,,,,,,,,,,,,,,
"O00168 (FXYD1)","1",,,,,,,,,,,,,,,,,,,,,,,
"O00198 (HRK)","1",,,,,,,,,,,,,,,,,,,,,,,
"O00206 (TLR4)","1",,,,,,,,,,,,,,,,,,,,,,,
"O00220 (TNFRSF10A)","1",,,,,,,,,,,,,,,,,,,,,,,
"O00238 (BMPR1B)","1",,,,,,,,,,,,,,,,,,,,,,,
"O00241 (SIRPB1)","1",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.659919,0.268301,NaN,NaN,0.991558,NaN
"O00264 (PGRMC1)","1",0.751453,0.749746,0.683721,0.814124,0.847648,0.796859,0.624701,0.747162,0.73602,0.718179,0.723862,0.743373,0.80701,0.672543,0.831749,0.878248,0.0372912,0.972163,0.964195,0.970514,0.946034,0.809998,0.916625
"O00299 (CLIC1)","1",0.680146,0.795095,0.40423,0.571209,0.413694,0.634693,0.642277,0.451425,0.568602,0.438821,0.581774,0.233248,0.762028,0.82873,0.548904,0.663894,0.674823,0.622124,0.637713,0.707783,0.747404,0.875638,0.620816
"O00391 (QSOX1)","1",0.340104,0.379135,0.223188,0.399898,0.246943,0.205593,0.209383,0.235638,0.18569,NaN,0.287479,NaN,0.340646,0.750721,0.368751,0.338561,NaN,NaN,NaN,0.424187,0.297226,0.336635,0.375307
"O00445 (SYT5)","1",,,,,,,,,,,,,,,,,,,,,,,
"O00453 (LST1)","1",,,,,,,,,,,,,,,,,,,,,,,
"O00461 (GOLIM4)","1",0.678011,0.760056,0.694429,0.698593,0.919649,0.914692,0.488103,0.711718,0.687287,0.706174,0.703268,0.695627,0.805791,NaN,0.938189,0.864089,NaN,0.962905,0.918916,0.944412,0.94331,0.770369,0.961991
"O00478 (BTN3A3)","1",,,,,,,,,,,,,,,,,,,,,,,
"O00481 (BTN3A1)","1",,,,,,,,,,,,,,,,,,,,,,,
"O00483 (NDUFA4)","1",0.642044,0.58632,0.656325,0.625785,0.800428,0.802305,0.402424,0.638095,0.620555,0.564407,0.554322,0.548194,0.662139,0.681644,0.840252,0.826917,0.0214378,0.915148,0.851933,0.885566,0.975112,0.626685,0.866339
"O00519 (FAAH)","1",,,,,,,,,,,,,,,,,,,,,,,
"O00526 (UPK2)","1",,,,,,,,,,,,,,,,,,,,,,,
"O00533 (CHL1)","1",,,,,,,,,,,,,,,,,,,,,,,
"O00548 (DLL1)","1",NaN,0.0271552,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.897864,NaN,0.442796
"O00559 (EBAG9)","1",0.239528,NaN,NaN,NaN,0.163906,0.409539,NaN,NaN,0.292383,NaN,NaN,NaN,NaN,NaN,0.378697,NaN,NaN,0.335726,0.473507,0.676701,0.578223,0.36876,0.617554
"O00587 (MFNG)","1",,,,,,,,,,,,,,,,,,,,,,,
"O00592 (PODXL)","1",0.267042,0.230825,0.166962,0.295066,0.692425,0.557909,0.388208,0.487866,0.448427,0.440135,0.289943,0.186692,0.461373,NaN,0.43906,0.694476,NaN,0.799823,0.939095,0.800658,0.69235,0.369482,0.674606
"O00631 (SLN)","1",,,,,,,,,,,,,,,,,,,,,,,
"O14511 (NRG2)","1",,,,,,,,,,,,,,,,,,,,,,,
"O14522 (PTPRT)","1",,,,,,,,,,,,,,,,,,,,,,,
"O14523 (C2CD2L)","1",NaN,NaN,NaN,NaN,0.599406,0.00632163,0.117264,NaN,NaN,0.038131,NaN,0.464125,NaN,0.584232,0.813213,0.728943,NaN,NaN,NaN,NaN,0.769072,NaN,0.812168
"O14638 (ENPP3)","1",,,,,,,,,,,,,,,,,,,,,,,
"O14653 (GOSR2)","1",0.690908,0.666949,0.486285,0.71591,0.800278,0.748971,0.4182,0.585499,0.431563,0.661687,0.518167,0.483088,0.76479,0.409874,0.895221,0.804105,NaN,0.92206,0.888839,0.98243,0.933263,0.633377,0.923497
"O14662 (STX16)","1",0.631962,0.642621,0.618768,0.635142,0.759577,0.753062,0.541249,0.499056,0.644598,0.621461,0.591158,0.609753,0.697168,0.445045,0.790551,0.764189,NaN,0.922139,0.905397,0.951051,0.933394,0.776399,0.953384
"O14668 (PRRG1)","1",NaN,NaN,NaN,NaN,0.637015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0
"O14669 (PRRG2)","1",,,,,,,,,,,,,,,,,,,,,,,
"O14672 (ADAM10)","1",0.354217,0.460479,0.375616,0.378295,0.802937,0.846423,0.215856,0.356926,0.431033,0.359419,0.431795,0.200318,0.388296,0.407223,0.85411,0.745558,NaN,0.745774,0.865226,0.950003,0.855706,0.710739,0.828311
"O14763 (TNFRSF10B)","1",0.598238,0.551884,0.349896,0.586375,0.681056,0.64,0.488881,0.535503,0.508256,0.503518,0.547138,0.533778,0.66717,0.504562,0.714668,0.742716,0.0750401,0.95949,0.98705,0.893402,0.828539,0.770935,0.85131
"O14786 (NRP1)","1",NaN,NaN,NaN,NaN,0.498126,0.253464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.027513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0
"O14788 (TNFSF11)","1",,,,,,,,,,,,,,,,,,,,,,,
"O14836 (TNFRSF13B)","1",,,,,,,,,,,,,,,,,,,,,,,
"O14917 (PCDH17)","1",,,,,,,,,,,,,,,,,,,,,,,
"O14931 (NCR3)","1",,,,,,,,,,,,,,,,,,,,,,,
"O14944 (EREG)","1",,,,,,,,,,,,,,,,,,,,,,,
"O14949 (UQCRQ)","1",0.61338,0.63546,0.534144,0.674266,0.837616,0.869006,0.569887,0.678667,0.698611,0.703056,0.681562,0.631744,0.703313,0.0571017,0.851514,0.838599,NaN,0.921066,0.963097,0.942151,0.930698,0.574565,0.914787
"O14957 (UQCR11)","1",0.133101,0.191832,0.238051,0.3718,0.592011,0.519673,0.16797,0.362069,0.271879,0.307833,0.303747,NaN,0.296608,NaN,0.549542,0.675122,NaN,0.930591,0.945823,0.891314,0.912543,0.383313,0.716843
"O14967 (CLGN)","1",0.246659,0.198314,0.244572,0.40682,0.689013,0.690788,0.310264,0.482033,0.468805,0.297749,0.483334,0.28898,0.37626,NaN,0.594339,0.593801,NaN,0.942007,0.916488,0.870423,0.782713,0.771623,0.765389
"O15031 (PLXNB2)","1",0.407591,0.408824,0.135133,0.474448,0.766316,0.68678,0.359595,0.419018,0.504978,0.455548,0.483231,0.44147,0.716472,NaN,0.849316,0.689133,0.280661,0.95692,0.977926,0.95358,0.913366,0.661046,0.874154
"O15079 (SNPH)","1",,,,,,,,,,,,,,,,,,,,,,,
"O15146 (MUSK)","1",,,,,,,,,,,,,,,,,,,,,,,
"O15155 (BET1)","1",0.845437,0.812957,0.623996,0.814261,0.894544,0.831507,0.528546,0.691928,0.671697,0.748748,0.690324,0.722945,0.852386,0.20843,0.931021,0.949571,0.134454,0.93416,0.941518,0.980978,0.90555,0.766646,0.89156
"O15162 (PLSCR1)","1",NaN,0.043873,NaN,0.470168,0.948591,0.645629,0.135708,0.291268,0.29983,0.243052,0.350216,0.431293,0.758734,NaN,0.796341,0.73591,NaN,0.857902,0.588475,0.663021,0.465956,NaN,0.0614535
"O15165 (LDLRAD4)","1",,,,,,,,,,,,,,,,,,,,,,,
"O15173 (PGRMC2)","1",0.757486,0.793468,0.733194,0.792905,0.868736,0.880772,0.60333,0.738837,0.754862,0.734031,0.730749,0.739509,0.789021,0.598187,0.859619,0.870316,NaN,0.964712,0.957493,0.92467,0.954416,0.820752,0.93193
"O15197 (EPHB6)","1",,,,,,,,,,,,,,,,,,,,,,,
"O15239 (NDUFA1)","1",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.367501,NaN,0.492841,0.667651,0.790036,0.854773,NaN,0.541143
"O15247 (CLIC2)","1",,,,,,,,,,,,,,,,,,,,,,,
"O15269 (SPTLC1)","1",0.799324,0.778509,0.723091,0.780005,0.90067,0.888714,0.659917,0.749388,0.72833,0.722941,0.756823,0.762807,0.817935,0.73525,0.941584,0.896621,0.0,0.956332,0.966313,0.982129,0.945429,0.89366,0.953938
"O15270 (SPTLC2)","1",0.641369,0.648253,0.587462,0.755391,0.812674,0.734047,0.445484,0.529805,0.580683,0.517811,0.572591,0.530266,0.734613,0.0190791,0.805161,0.847585,NaN,0.923099,0.899402,0.983507,0.921549,0.821227,0.915916
"O15389 (SIGLEC5)","1",,,,,,,,,,,,,,,,,,,,,,,
"O15393 (TMPRSS2)","1",,,,,,,,,,,,,,,,,,,,,,,
"O15394 (NCAM2)","1",,,,,,,,,,,,,,,,,,,,,,,
"O15400 (STX7)","1",0.662451,0.59874,0.526733,0.675698,0.792916,0.805735,0.415166,0.546221,0.560429,0.5505,0.528432,0.441892,0.709831,0.742871,0.775722,0.775526,0.0720644,0.937662,0.929939,0.828401,0.85236,0.743884,0.909711
"O15455 (TLR3)","1",,,,,,,,,,,,,,,,,,,,,,,
"O15466 (ST8SIA5)","1",,,,,,,,,,,,,,,,,,,,,,,
"O15482 (TEX28)","1",,,,,,,,,,,,,,,,,,,,,,,
"O15533 (TAPBP)","1",0.34797,0.379522,NaN,0.305418,0.474755,0.461039,NaN,NaN,NaN,NaN,NaN,NaN,0.468637,NaN,0.524985,0.435808,NaN,0.81039,0.623216,0.752882,0.848979,0.101228,0.844189
